,Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification
21255,X6,2014,Asia,Blue,Hybrid,Automatic,3.6,23068,98979,3672,Low
22982,7 Series,2013,Europe,Blue,Diesel,Automatic,3.1,192039,35966,133,Low
16039,M3,2023,North America,Silver,Electric,Automatic,2.7,95623,82718,8705,High
2672,X5,2022,North America,Blue,Petrol,Manual,1.7,119677,34379,1327,Low
29363,3 Series,2013,Asia,Black,Electric,Automatic,2.2,114900,54426,9381,High
2608,X6,2011,Africa,White,Petrol,Manual,3.7,73416,50375,3630,Low
20496,M3,2016,North America,White,Electric,Automatic,1.8,48675,115654,6876,Low
47608,M5,2015,Middle East,Silver,Diesel,Automatic,2.4,139204,88598,608,Low
5159,i8,2019,North America,Silver,Electric,Manual,3.8,163258,39944,1388,Low
39381,X1,2018,North America,Red,Hybrid,Automatic,2.1,151764,65028,7571,High
35576,X1,2024,Africa,Black,Hybrid,Manual,3.3,147456,71632,595,Low
34234,i8,2019,Europe,White,Petrol,Automatic,3.0,102880,86516,5520,Low
32777,i8,2018,Europe,Red,Hybrid,Automatic,3.5,110264,113755,7234,High
11401,M5,2020,South America,Grey,Petrol,Automatic,4.5,48100,36007,2951,Low
10504,i3,2011,Europe,Silver,Electric,Automatic,2.7,149311,43541,3728,Low
33526,X1,2018,Europe,Blue,Petrol,Automatic,4.0,104579,84707,2920,Low
41589,M5,2021,Middle East,Blue,Petrol,Manual,3.1,47052,104632,3495,Low
5754,5 Series,2020,Africa,White,Petrol,Manual,4.7,54824,77585,4410,Low
44770,X5,2022,North America,Grey,Petrol,Manual,1.9,59107,85796,5673,Low
22011,X3,2015,Africa,Red,Diesel,Manual,3.4,77509,62745,832,Low
45388,i3,2013,Middle East,Grey,Petrol,Automatic,3.9,131887,112242,6464,Low
20937,i3,2018,North America,Black,Electric,Manual,2.1,36868,34067,2650,Low
21934,i3,2011,North America,Silver,Hybrid,Automatic,3.1,192786,63567,5122,Low
8034,X6,2013,North America,White,Diesel,Manual,4.3,169688,42182,8827,High
7126,i8,2020,Middle East,Red,Diesel,Automatic,1.7,55294,66093,4975,Low
47615,i3,2014,South America,Blue,Petrol,Manual,2.2,173605,99941,8431,High
47790,3 Series,2014,North America,Silver,Electric,Automatic,1.9,37193,65184,2005,Low
46122,M5,2018,Asia,Silver,Hybrid,Automatic,4.8,158275,111393,1756,Low
35846,3 Series,2018,Europe,White,Diesel,Manual,2.3,100561,52532,8321,High
34582,5 Series,2014,Middle East,Silver,Diesel,Automatic,3.7,130549,48973,2160,Low
13082,i3,2022,Asia,Red,Diesel,Manual,2.0,52742,59449,6966,Low
40646,X3,2013,Middle East,Black,Petrol,Manual,4.5,109655,92732,7319,High
21905,M5,2017,Africa,Red,Hybrid,Manual,4.1,148855,38904,363,Low
25238,X3,2010,Asia,White,Diesel,Manual,4.3,119099,77621,1422,Low
35975,7 Series,2023,Africa,White,Petrol,Manual,4.3,144630,44313,7897,High
6496,X5,2022,Asia,White,Diesel,Automatic,3.5,34086,110520,4371,Low
43693,i3,2020,Middle East,Grey,Electric,Automatic,2.2,162078,38289,1354,Low
33524,3 Series,2022,Middle East,Blue,Electric,Manual,4.4,68415,98720,6867,Low
20701,X6,2022,North America,Grey,Diesel,Manual,2.5,135112,78075,8247,High
13312,i3,2018,South America,Black,Petrol,Manual,1.9,158438,108079,6952,Low
10036,7 Series,2024,Africa,Red,Diesel,Manual,3.0,1408,88648,1820,Low
14164,7 Series,2015,North America,White,Petrol,Automatic,2.2,169798,112641,5616,Low
31154,X1,2018,South America,Silver,Diesel,Automatic,5.0,42709,90207,8169,High
24948,i8,2022,South America,Black,Diesel,Manual,3.4,42232,112825,9210,High
35308,M5,2010,North America,Silver,Hybrid,Automatic,2.9,68440,58948,5970,Low
47763,i3,2015,North America,Silver,Petrol,Manual,3.0,27046,97922,3203,Low
32907,X6,2012,Africa,White,Diesel,Manual,3.0,64265,55535,2085,Low
45609,i8,2013,Middle East,Blue,Hybrid,Manual,2.2,4892,48119,6713,Low
5253,X1,2010,Middle East,Silver,Petrol,Manual,3.6,111433,31251,7469,High
19104,X6,2020,Asia,White,Petrol,Manual,3.6,21437,41080,1799,Low
32805,i8,2018,Asia,Grey,Diesel,Manual,2.6,81839,54836,4821,Low
40516,M3,2017,Asia,Blue,Petrol,Automatic,4.7,192542,108756,8661,High
3882,i8,2024,Europe,White,Petrol,Manual,4.0,164138,34040,9429,High
22988,X1,2019,Middle East,Blue,Petrol,Manual,2.8,10110,93572,3871,Low
31224,M5,2019,Africa,Black,Hybrid,Automatic,2.3,63441,85319,9353,High
3418,3 Series,2015,Asia,Blue,Electric,Manual,3.2,115738,71009,6191,Low
38929,i8,2014,Asia,Red,Petrol,Automatic,3.3,198026,34549,4046,Low
23541,M5,2012,Europe,White,Petrol,Automatic,1.8,187345,100225,9893,High
26354,X5,2011,Asia,Silver,Diesel,Automatic,1.8,115546,37678,2689,Low
19771,X3,2012,Asia,Grey,Electric,Automatic,2.7,192174,49957,1678,Low
10189,X3,2016,Middle East,White,Hybrid,Manual,4.8,82957,106194,6391,Low
44562,7 Series,2014,Middle East,Black,Diesel,Manual,2.3,56132,69181,9370,High
44560,5 Series,2022,Africa,Blue,Hybrid,Manual,4.1,127763,33552,2078,Low
44944,X6,2014,Asia,Silver,Petrol,Automatic,2.2,94752,106223,5305,Low
5195,X3,2020,Asia,Silver,Diesel,Manual,3.8,150578,119593,3743,Low
37255,M3,2020,Europe,Grey,Petrol,Automatic,4.8,19240,88258,3766,Low
31610,X5,2021,North America,Red,Hybrid,Automatic,4.3,118494,107364,5437,Low
2191,i3,2019,Asia,Red,Electric,Manual,4.0,61720,117782,5764,Low
31039,M5,2024,North America,White,Diesel,Automatic,4.3,96361,46711,114,Low
46776,X5,2012,Africa,Red,Petrol,Automatic,3.9,188522,105574,6753,Low
7785,X3,2014,Middle East,Black,Hybrid,Manual,2.3,16405,66912,4456,Low
46172,5 Series,2010,Africa,Silver,Petrol,Automatic,3.6,126833,42423,6128,Low
42978,i3,2017,Asia,Silver,Petrol,Manual,2.7,7928,99826,1466,Low
48126,M5,2024,Middle East,Black,Electric,Automatic,2.7,153349,77273,2539,Low
3154,X3,2012,Europe,White,Hybrid,Automatic,1.8,195745,102492,4180,Low
22795,i3,2013,North America,Grey,Diesel,Manual,2.4,159764,60883,5754,Low
29895,X5,2018,Middle East,Silver,Petrol,Automatic,4.7,56510,67554,5505,Low
16912,i8,2012,Asia,Grey,Petrol,Manual,1.6,57022,55459,3292,Low
41042,7 Series,2022,Asia,Grey,Petrol,Automatic,3.1,108078,92897,613,Low
42715,M3,2016,Africa,Red,Hybrid,Automatic,3.8,15474,63645,9090,High
7441,5 Series,2020,Asia,White,Diesel,Manual,2.9,162095,106490,9915,High
12848,X3,2014,Europe,Red,Diesel,Manual,3.8,24379,51623,8623,High
12619,7 Series,2023,Europe,Black,Diesel,Automatic,2.8,141539,32399,5605,Low
19746,7 Series,2014,Asia,White,Diesel,Manual,2.5,150425,39499,9883,High
1422,i3,2013,Africa,Blue,Hybrid,Manual,3.9,3473,31664,5046,Low
26894,X5,2017,Middle East,Red,Hybrid,Automatic,1.6,184233,82782,7429,High
6065,7 Series,2016,Europe,Silver,Petrol,Automatic,1.9,97479,85590,9981,High
37616,X3,2016,Europe,Blue,Diesel,Automatic,2.7,101345,93684,8460,High
37028,5 Series,2011,North America,Grey,Hybrid,Manual,3.6,112392,99382,1097,Low
43197,X6,2012,Europe,Black,Diesel,Automatic,3.4,131754,82564,4747,Low
29228,i3,2011,Asia,Blue,Diesel,Manual,2.8,170367,38478,8877,High
29835,X1,2012,Asia,Black,Electric,Manual,3.6,134779,100012,6198,Low
22685,5 Series,2014,South America,Grey,Hybrid,Manual,4.9,83985,90482,4345,Low
22341,M3,2019,North America,Black,Diesel,Manual,3.4,25273,93883,844,Low
45713,X5,2019,Middle East,Grey,Electric,Automatic,2.6,59550,57209,3472,Low
34759,3 Series,2024,Africa,Black,Hybrid,Automatic,2.1,112107,76473,2771,Low
5215,7 Series,2013,Asia,Black,Electric,Manual,2.2,72818,53780,1594,Low
48812,5 Series,2022,North America,Silver,Petrol,Manual,2.1,143350,73354,3839,Low
44917,X6,2020,Middle East,Black,Electric,Automatic,3.5,146061,59473,3142,Low
39364,M5,2018,South America,Silver,Diesel,Automatic,3.2,56879,53258,2774,Low
47378,i3,2010,Middle East,Grey,Petrol,Automatic,2.0,98826,97806,5769,Low
2899,i3,2016,North America,Grey,Hybrid,Manual,4.9,132210,69164,6855,Low
13307,X1,2024,Asia,Blue,Diesel,Automatic,2.4,108093,71985,8783,High
18861,i8,2016,Africa,Grey,Electric,Manual,2.8,14462,68822,6772,Low
14160,X1,2019,Europe,White,Electric,Manual,1.9,154125,102873,8414,High
15153,M5,2019,South America,Silver,Diesel,Manual,2.5,62373,117729,3274,Low
2561,X1,2012,Asia,White,Electric,Automatic,4.7,21463,66742,9716,High
7308,5 Series,2016,Asia,Black,Electric,Manual,4.1,57324,64684,5784,Low
19223,X6,2010,Africa,Red,Diesel,Automatic,2.1,186458,83886,6047,Low
39543,i8,2014,Africa,Blue,Hybrid,Manual,4.0,59108,62257,108,Low
33680,5 Series,2014,Africa,Grey,Electric,Manual,1.5,184995,79107,6988,Low
39097,X3,2017,North America,Silver,Petrol,Manual,4.2,1571,85976,404,Low
44840,M3,2014,Africa,Grey,Diesel,Automatic,3.8,184141,98019,3456,Low
44614,X5,2022,Asia,Blue,Petrol,Manual,3.2,5755,55695,3626,Low
27191,X1,2016,Africa,Red,Petrol,Manual,2.0,143291,93234,9529,High
17476,X1,2010,North America,Grey,Petrol,Manual,2.6,107291,90052,5278,Low
14803,7 Series,2020,North America,Grey,Hybrid,Automatic,4.0,121594,117550,4232,Low
26837,X5,2023,Europe,White,Diesel,Automatic,3.7,174715,99436,8219,High
10262,X6,2013,Africa,Grey,Hybrid,Automatic,3.7,79048,52158,2229,Low
44190,M5,2021,Europe,Grey,Petrol,Automatic,4.4,75669,43978,1775,Low
43278,5 Series,2016,Middle East,Silver,Diesel,Manual,4.8,82119,92968,7243,High
30948,M5,2024,Africa,Blue,Hybrid,Automatic,4.6,183737,74455,1533,Low
42989,X1,2015,Middle East,Red,Hybrid,Automatic,3.9,124635,102472,1791,Low
19709,X1,2017,North America,White,Hybrid,Manual,2.0,64498,61762,6849,Low
28468,X1,2023,South America,Blue,Electric,Manual,4.9,165005,102309,4303,Low
543,X3,2014,Europe,Red,Electric,Automatic,2.0,37967,64069,4747,Low
23822,X1,2015,Africa,Grey,Electric,Automatic,4.0,73002,98821,4661,Low
28066,3 Series,2015,South America,Black,Petrol,Automatic,2.7,107146,58250,1951,Low
34415,M3,2021,Europe,Silver,Hybrid,Manual,4.6,32188,30543,3113,Low
39627,5 Series,2018,Asia,Blue,Petrol,Automatic,4.0,169877,52639,2645,Low
1163,X6,2023,Europe,Black,Electric,Automatic,4.2,132964,61017,8566,High
29746,3 Series,2017,Europe,Grey,Diesel,Manual,3.8,88061,88824,7929,High
2210,X3,2010,Middle East,Blue,Diesel,Automatic,1.5,182094,75123,1537,Low
23001,X5,2013,Europe,Black,Hybrid,Automatic,1.6,190019,113952,9016,High
32300,M5,2012,Europe,White,Hybrid,Manual,4.1,81378,113680,516,Low
46320,X6,2021,Asia,Blue,Hybrid,Manual,2.1,81509,89698,5311,Low
28827,i3,2017,North America,White,Electric,Manual,2.6,21635,55796,9385,High
44404,X5,2018,North America,Grey,Hybrid,Manual,1.9,9602,84718,7493,High
18198,i8,2023,North America,Grey,Diesel,Manual,3.1,65290,110336,6264,Low
1901,M5,2011,Africa,Blue,Electric,Automatic,4.0,80194,35933,5766,Low
37460,i8,2023,South America,Black,Petrol,Manual,5.0,120150,60251,575,Low
17692,3 Series,2013,South America,Silver,Diesel,Manual,3.9,132169,76144,7058,High
28200,X3,2013,Europe,White,Diesel,Manual,2.2,180366,59089,4230,Low
24782,3 Series,2013,South America,Blue,Hybrid,Manual,4.5,186166,41567,613,Low
28968,X6,2018,Africa,White,Petrol,Automatic,4.9,192132,76909,5053,Low
38888,X3,2019,North America,Silver,Diesel,Automatic,2.2,120653,99331,8691,High
35968,M5,2014,Middle East,White,Hybrid,Automatic,1.9,97419,97995,6217,Low
30875,3 Series,2015,Africa,White,Electric,Automatic,2.8,175458,78751,200,Low
38948,i8,2020,Africa,Red,Diesel,Manual,1.7,199573,90797,2504,Low
15359,X1,2017,North America,Red,Diesel,Automatic,5.0,121164,79595,5686,Low
42751,i8,2018,Africa,Red,Electric,Automatic,1.8,196127,85824,5026,Low
44469,X6,2015,South America,Red,Petrol,Automatic,2.5,111310,91011,9387,High
19714,i8,2022,Middle East,Blue,Hybrid,Automatic,1.9,80746,77848,5387,Low
11607,X3,2016,South America,Black,Diesel,Automatic,3.4,170385,36560,5669,Low
36167,M5,2011,Africa,Grey,Electric,Manual,3.3,162483,41215,9985,High
35571,X6,2016,South America,Silver,Diesel,Automatic,3.9,152114,78565,7176,High
30441,i3,2012,Middle East,White,Hybrid,Manual,3.1,169589,112767,8785,High
39646,i3,2011,Europe,White,Hybrid,Automatic,2.6,45778,66404,1721,Low
45246,7 Series,2018,Europe,Blue,Diesel,Manual,3.2,13084,58736,5683,Low
10434,3 Series,2016,Asia,Black,Petrol,Manual,2.9,169044,102573,1105,Low
45591,X3,2014,Middle East,Black,Petrol,Automatic,2.8,65143,30348,1815,Low
33540,7 Series,2014,Europe,Red,Electric,Automatic,3.4,53433,89152,2761,Low
4162,M5,2012,South America,Blue,Petrol,Manual,4.6,158640,104754,1052,Low
24261,M3,2021,Europe,Blue,Petrol,Automatic,3.0,90993,106594,8707,High
27618,7 Series,2010,Africa,Blue,Diesel,Manual,4.9,108806,43209,690,Low
17466,i8,2013,Africa,Silver,Petrol,Automatic,3.7,18472,42787,4592,Low
2441,M5,2016,South America,White,Diesel,Manual,4.9,56312,96211,6456,Low
6211,X5,2017,Europe,Red,Diesel,Automatic,3.6,33977,85555,177,Low
16368,M3,2021,Asia,Black,Diesel,Manual,2.5,7915,85487,6913,Low
6896,i3,2015,Africa,White,Electric,Manual,2.5,55472,78925,7424,High
27590,M3,2022,Asia,Black,Petrol,Manual,1.6,28363,109941,8950,High
27721,i8,2020,Europe,Black,Petrol,Manual,2.9,78150,72683,7395,High
6400,7 Series,2011,South America,Blue,Petrol,Automatic,5.0,112867,111134,4714,Low
46282,i3,2016,North America,Red,Hybrid,Manual,4.3,167779,75117,5275,Low
30127,7 Series,2018,South America,Grey,Diesel,Manual,3.5,49234,84005,143,Low
19027,3 Series,2018,Africa,Silver,Electric,Manual,4.7,42484,46116,5016,Low
33821,5 Series,2010,Middle East,Red,Hybrid,Manual,4.2,57624,68555,4886,Low
32756,M5,2016,Middle East,Grey,Electric,Automatic,2.5,141488,116314,8716,High
47477,i3,2023,Asia,Red,Petrol,Manual,2.0,55688,43939,272,Low
31632,X3,2010,North America,Black,Hybrid,Manual,1.9,67519,62568,8714,High
18558,i3,2012,Middle East,Grey,Diesel,Automatic,2.3,8612,101767,4400,Low
16625,3 Series,2014,Africa,White,Electric,Manual,4.4,82464,86279,367,Low
17531,X1,2020,South America,Grey,Electric,Manual,3.2,80148,40143,3370,Low
37647,M5,2010,Middle East,Silver,Hybrid,Manual,3.8,47801,58426,722,Low
33395,5 Series,2018,Middle East,Silver,Electric,Manual,2.4,138285,70562,8633,High
17827,M3,2022,Asia,Blue,Hybrid,Manual,3.8,170642,92967,6907,Low
14427,5 Series,2022,South America,Black,Diesel,Manual,3.5,128713,112506,9451,High
1005,5 Series,2023,North America,Blue,Petrol,Automatic,1.9,139301,85255,4180,Low
5488,i8,2014,North America,Black,Diesel,Manual,2.5,136665,90442,4640,Low
45615,M3,2017,North America,Black,Hybrid,Manual,2.4,190808,75407,213,Low
17406,i8,2013,Africa,Black,Electric,Manual,2.2,66301,110554,4098,Low
454,i8,2010,North America,Blue,Hybrid,Automatic,3.4,58700,94124,2613,Low
4244,3 Series,2012,Africa,Red,Electric,Manual,2.7,25441,108051,3540,Low
39505,5 Series,2016,North America,Red,Electric,Automatic,2.8,35108,114029,2518,Low
43383,X3,2019,Europe,Silver,Hybrid,Manual,4.7,56620,93157,9640,High
34292,i8,2011,North America,Silver,Diesel,Automatic,1.9,38191,49803,1195,Low
41413,X3,2021,Europe,Silver,Hybrid,Manual,1.9,81167,113880,180,Low
44591,5 Series,2018,South America,Red,Electric,Manual,1.6,145073,87243,9970,High
31953,X1,2016,Middle East,Black,Hybrid,Automatic,4.2,159087,44025,5732,Low
29980,M5,2010,Middle East,Grey,Diesel,Automatic,3.9,639,86210,6873,Low
9391,X5,2015,South America,Silver,Electric,Automatic,4.0,162870,37059,696,Low
22338,X5,2023,Middle East,Black,Petrol,Manual,4.8,137179,63387,4765,Low
11708,M5,2024,Middle East,Red,Diesel,Manual,2.9,33595,105961,1720,Low
12966,X6,2012,Middle East,Grey,Diesel,Manual,3.2,68155,66890,368,Low
45664,X1,2011,Europe,Grey,Electric,Automatic,3.6,108028,118282,2493,Low
12824,X3,2019,Asia,White,Diesel,Automatic,4.1,100615,80642,3672,Low
29861,i3,2011,Middle East,Grey,Petrol,Automatic,4.3,86485,64969,5872,Low
36407,X1,2020,Asia,Red,Electric,Manual,3.2,178537,69613,5288,Low
19204,3 Series,2014,Middle East,Blue,Electric,Manual,4.1,9013,34369,2831,Low
7776,X5,2023,Middle East,Blue,Hybrid,Automatic,3.9,124868,108263,7616,High
35972,i3,2015,Europe,Black,Diesel,Automatic,1.6,170935,68614,2940,Low
46215,M5,2019,North America,White,Hybrid,Manual,1.6,148014,57460,4924,Low
26542,M3,2024,Asia,Blue,Petrol,Automatic,2.7,37863,96459,497,Low
26716,X5,2016,Africa,Blue,Electric,Automatic,2.7,72245,92197,4489,Low
41853,i8,2012,Europe,White,Petrol,Automatic,2.4,82322,70026,4492,Low
15469,X5,2014,Asia,Black,Hybrid,Manual,3.6,157978,100097,198,Low
27055,X3,2016,Middle East,Blue,Hybrid,Manual,1.8,60346,112191,3107,Low
11062,i8,2015,Asia,Red,Hybrid,Automatic,2.9,18041,38916,5727,Low
12110,i3,2011,Middle East,Silver,Hybrid,Automatic,4.7,161632,102169,8137,High
14518,5 Series,2021,Middle East,Grey,Diesel,Manual,3.4,122629,76608,3523,Low
37532,X6,2023,Middle East,Silver,Hybrid,Manual,4.8,184925,68110,3692,Low
33612,5 Series,2010,South America,Silver,Diesel,Manual,2.4,152865,79219,2121,Low
13433,i3,2012,Asia,White,Hybrid,Automatic,4.0,10313,30165,6450,Low
3053,X6,2021,South America,White,Petrol,Automatic,3.7,122614,48133,9378,High
17452,5 Series,2010,Asia,Black,Petrol,Automatic,1.9,17544,40575,9103,High
27505,M5,2016,South America,Black,Hybrid,Manual,2.4,94209,80144,1679,Low
48930,X3,2024,Africa,Red,Diesel,Manual,1.7,187181,112805,9848,High
20000,X5,2022,Africa,Black,Diesel,Automatic,2.3,87510,103500,7483,High
39079,X1,2013,Asia,White,Petrol,Automatic,3.4,137960,79534,1527,Low
9273,3 Series,2010,South America,Silver,Electric,Manual,2.8,1171,35199,9390,High
10134,3 Series,2023,North America,Black,Hybrid,Manual,1.8,15285,93440,447,Low
2982,i3,2020,North America,Silver,Petrol,Automatic,2.4,171110,57195,9746,High
31599,M3,2017,Europe,Red,Electric,Automatic,4.0,29482,89684,8398,High
47437,7 Series,2017,Africa,Silver,Hybrid,Manual,3.8,172032,55872,1311,Low
40223,X3,2023,North America,Red,Petrol,Manual,2.6,187367,45852,6928,Low
5770,i8,2020,Middle East,White,Petrol,Manual,4.2,84564,91684,5772,Low
34870,X6,2019,Europe,Grey,Hybrid,Automatic,3.9,94179,58270,8745,High
28999,i3,2011,Middle East,Black,Diesel,Manual,3.4,50747,46797,2080,Low
16320,X3,2012,Middle East,Blue,Diesel,Automatic,3.3,156573,96170,272,Low
38544,i8,2013,Middle East,Grey,Petrol,Automatic,1.7,110394,93380,8575,High
14815,7 Series,2021,South America,Silver,Petrol,Manual,3.2,135138,57989,5924,Low
17962,X5,2013,Middle East,Grey,Electric,Manual,4.4,38753,86552,1175,Low
23647,X3,2013,Europe,Red,Hybrid,Manual,3.2,189667,78178,7664,High
8479,X5,2010,Asia,Grey,Petrol,Automatic,4.7,139959,30236,8763,High
22895,7 Series,2019,Asia,Black,Electric,Manual,4.5,79533,85947,7560,High
18853,M5,2022,North America,Black,Petrol,Manual,4.8,175293,79053,1892,Low
39474,X5,2015,Asia,Grey,Electric,Manual,3.4,179271,66392,4709,Low
9353,5 Series,2024,South America,Grey,Diesel,Automatic,1.9,197310,39362,5687,Low
25042,i3,2024,Asia,Black,Hybrid,Automatic,4.4,140005,88961,3803,Low
46015,X3,2017,Middle East,Black,Diesel,Manual,2.5,128059,100971,564,Low
2757,M3,2014,Asia,Red,Petrol,Automatic,4.8,161885,73839,8727,High
12214,X6,2013,Asia,White,Diesel,Manual,3.6,115425,46706,9479,High
23491,5 Series,2022,South America,White,Diesel,Automatic,3.4,189406,110409,5710,Low
28027,3 Series,2017,Africa,Blue,Diesel,Automatic,2.1,123076,70576,2327,Low
4128,3 Series,2015,Middle East,Red,Petrol,Automatic,3.9,27603,54631,950,Low
30611,5 Series,2017,North America,Black,Diesel,Manual,1.9,71420,51730,4775,Low
7915,i3,2019,Europe,Blue,Hybrid,Manual,2.5,176710,113804,9429,High
27687,X1,2024,South America,Black,Electric,Manual,4.5,122205,93969,520,Low
25572,X3,2020,Middle East,Grey,Hybrid,Automatic,3.4,114388,78570,3790,Low
2182,3 Series,2016,South America,Black,Hybrid,Manual,3.6,93296,61770,466,Low
29965,3 Series,2011,Middle East,Red,Petrol,Manual,3.8,90500,71236,8887,High
26216,i3,2010,Middle East,Blue,Diesel,Manual,2.3,16567,59308,9495,High
4822,i8,2012,Middle East,Black,Petrol,Automatic,2.9,183645,101378,6836,Low
2110,i3,2017,Middle East,Blue,Electric,Manual,3.0,58402,110983,2793,Low
20931,i8,2013,Europe,Blue,Diesel,Manual,3.2,27328,91574,9961,High
25270,5 Series,2014,North America,White,Diesel,Manual,3.9,13399,90882,4653,Low
176,X1,2012,Europe,Silver,Electric,Manual,3.9,63716,74494,6791,Low
5683,i8,2014,North America,White,Diesel,Manual,3.7,55282,41002,1133,Low
47937,X5,2014,Middle East,White,Petrol,Automatic,2.3,42069,35335,3883,Low
32858,X5,2010,Asia,Blue,Electric,Manual,4.2,164837,110049,8882,High
28221,5 Series,2017,Europe,Blue,Diesel,Manual,2.7,48950,108740,6706,Low
28530,5 Series,2020,South America,Silver,Diesel,Manual,1.7,86271,38832,3668,Low
15849,M3,2012,Middle East,Grey,Petrol,Manual,1.8,145350,56953,2912,Low
23744,X3,2017,North America,White,Petrol,Manual,1.7,76499,47857,2565,Low
43283,X6,2017,North America,Silver,Diesel,Automatic,1.8,26063,104169,1982,Low
20613,5 Series,2024,Europe,Blue,Diesel,Manual,5.0,182973,61095,9250,High
27819,X6,2020,Middle East,Red,Electric,Manual,4.4,156306,34939,8008,High
38872,7 Series,2014,Asia,White,Petrol,Manual,3.8,117270,80795,5471,Low
27587,M3,2018,Asia,Silver,Hybrid,Automatic,3.1,195473,82565,3712,Low
41889,X1,2016,Middle East,Red,Electric,Manual,3.9,135058,64615,5158,Low
23872,M3,2024,Middle East,Grey,Electric,Manual,1.6,172026,54039,6905,Low
10915,7 Series,2016,Europe,Black,Hybrid,Automatic,4.4,61855,42379,7840,High
22989,7 Series,2011,South America,White,Electric,Manual,2.5,111649,42943,1410,Low
47401,i8,2020,Europe,White,Electric,Automatic,2.7,28534,59534,5268,Low
20374,i8,2021,Africa,Blue,Petrol,Manual,4.3,140176,85867,2050,Low
24683,i3,2022,Middle East,Red,Diesel,Automatic,2.0,181481,62335,4681,Low
8053,5 Series,2022,Middle East,Blue,Hybrid,Manual,3.4,186008,55944,5209,Low
1741,i8,2023,Europe,Silver,Petrol,Manual,2.4,77259,97872,5257,Low
25116,X1,2018,Asia,Black,Electric,Manual,2.9,7427,94641,6498,Low
24184,M3,2010,Africa,White,Diesel,Manual,2.6,76341,77647,5750,Low
13631,i8,2019,Middle East,Grey,Diesel,Automatic,1.5,173838,73804,6074,Low
4303,M5,2015,Asia,White,Petrol,Manual,4.6,89418,83861,7980,High
21987,i3,2014,South America,Silver,Diesel,Manual,3.7,2854,63994,7085,High
35719,X6,2012,South America,Red,Diesel,Manual,4.4,139658,66994,2823,Low
23460,X6,2016,North America,Blue,Petrol,Manual,1.6,135380,118485,6963,Low
10444,X5,2015,Europe,White,Electric,Manual,1.7,136192,59772,6800,Low
42406,i3,2010,Middle East,Silver,Hybrid,Manual,3.2,86453,53508,7289,High
15709,X5,2019,Middle East,Silver,Hybrid,Manual,2.3,112923,98743,9565,High
33009,X6,2013,Asia,Blue,Hybrid,Automatic,1.7,45588,30264,8361,High
10279,i8,2015,South America,Silver,Petrol,Manual,3.2,98641,52407,8520,High
20945,M5,2016,Europe,Red,Hybrid,Manual,2.5,33120,68074,646,Low
5653,M5,2024,North America,White,Hybrid,Manual,2.7,46455,52103,956,Low
4816,M5,2021,Europe,Red,Hybrid,Manual,2.4,38932,47669,5434,Low
36890,X6,2015,Middle East,Silver,Electric,Manual,4.2,15844,105461,3613,Low
39173,X3,2023,South America,Black,Diesel,Automatic,3.0,56876,111636,3519,Low
15056,5 Series,2023,Africa,White,Petrol,Manual,4.9,142042,41876,2782,Low
13943,X6,2012,South America,White,Electric,Automatic,2.0,146100,50184,7130,High
21681,X3,2021,Europe,Silver,Diesel,Manual,1.6,103738,43191,2824,Low
35499,X5,2024,North America,Grey,Hybrid,Automatic,3.1,59841,42649,5683,Low
11028,3 Series,2014,Africa,Grey,Hybrid,Manual,1.6,29018,83456,5899,Low
4448,M5,2015,Asia,Grey,Hybrid,Automatic,3.4,33804,70283,6533,Low
39838,i3,2020,Europe,Silver,Petrol,Manual,4.3,131802,30991,9843,High
42196,i8,2023,Middle East,Silver,Electric,Manual,3.6,153614,91639,4263,Low
32525,5 Series,2022,Europe,Grey,Petrol,Manual,2.6,163733,42401,5510,Low
30352,M3,2011,South America,Red,Electric,Automatic,3.6,4931,55858,5204,Low
27614,M3,2011,Middle East,White,Petrol,Manual,2.7,168156,111572,432,Low
20949,M5,2017,Middle East,Blue,Hybrid,Manual,2.1,98677,106713,6663,Low
45484,i3,2013,Europe,Black,Diesel,Automatic,4.2,57508,108021,4487,Low
38587,7 Series,2019,Africa,Silver,Diesel,Automatic,3.4,97903,49703,1564,Low
17249,X3,2019,South America,Blue,Petrol,Manual,1.7,56179,80968,7824,High
3431,X6,2024,South America,Red,Petrol,Automatic,2.7,181587,114096,9426,High
46130,i8,2022,Africa,Blue,Petrol,Automatic,2.5,164341,90021,3401,Low
1792,i3,2016,Middle East,Blue,Electric,Manual,2.0,105059,56720,9161,High
4865,M3,2014,North America,Red,Electric,Manual,3.4,59764,110072,3702,Low
27415,X1,2010,North America,Grey,Petrol,Manual,4.3,187862,108706,7935,High
17914,X6,2021,North America,Silver,Hybrid,Manual,3.3,17172,38055,9502,High
37332,X3,2020,Middle East,Silver,Electric,Manual,2.4,149299,81961,2243,Low
7592,M5,2014,South America,Blue,Petrol,Automatic,4.1,50316,84422,1761,Low
47134,5 Series,2020,South America,Silver,Diesel,Automatic,3.2,29949,33204,1402,Low
44990,5 Series,2013,North America,Grey,Petrol,Manual,2.1,137461,90142,4262,Low
40268,X1,2017,Africa,Blue,Diesel,Manual,2.5,75562,65888,6740,Low
5169,M3,2021,Asia,Black,Hybrid,Automatic,4.8,24843,87059,6410,Low
35151,X3,2010,South America,Silver,Petrol,Automatic,4.3,58587,81234,1446,Low
